region_remap,Dataset,recip_hit_FALSE,recip_hit_TRUE,total_cells_in_region,percent_recip,dataset_recip_hit_TRUE,dataset_recip_hit_FALSE,dataset_total_cells,dataset_prop_recip,p_enriched,p_depleted,difference_from_dataset_average,fold_change
ACA,Nuclei,30150,89157,119307,0.7472906032336745,3042616,933364,3975980,0.765249322179689,1,1.930270565323673e-49,-0.01795871894601453,NA
ACA,Cells,51748,51050,102798,0.4966049923150256,1660845,1559228,3220073,0.5157786795516748,1,3.937596779892346e-36,-0.019173687236649195,NA
AUD,Nuclei,16141,113312,129453,0.8753138204599352,3042616,933364,3975980,0.765249322179689,0,1,0.11006449828024623,NA
AUD,Cells,44617,25949,70566,0.3677266672335119,1660845,1559228,3220073,0.5157786795516748,1,0,-0.1480520123181629,NA
BS,Nuclei,262786,411833,674619,0.6104675379732857,3042616,933364,3975980,0.765249322179689,1,0,-0.15478178420640332,NA
BS,Cells,132375,196642,329017,0.5976651662376108,1660845,1559228,3220073,0.5157786795516748,0,1,0.08188648668593601,NA
CB,Nuclei,12223,554067,566290,0.9784156527574212,3042616,933364,3975980,0.765249322179689,0,1,0.21316633057773215,NA
CB,Cells,10303,171703,182006,0.9433919760887004,1660845,1559228,3220073,0.5157786795516748,0,1,0.4276132965370256,NA
ENT,Nuclei,56999,135867,192866,0.7044632024307032,3042616,933364,3975980,0.765249322179689,1,0,-0.060786119748985845,NA
ENT,Cells,54490,55758,110248,0.5057506712139903,1660845,1559228,3220073,0.5157786795516748,0.9999999999940591,6.198330494568771e-12,-0.010028008337684469,NA
HPF,Nuclei,22417,129057,151474,0.8520076052655902,3042616,933364,3975980,0.765249322179689,0,1,0.08675828308590117,NA
HPF,Cells,36502,139687,176189,0.7928247506938572,1660845,1559228,3220073,0.5157786795516748,0,1,0.2770460711421824,NA
HY,Nuclei,37923,71594,109517,0.653724992466923,3042616,933364,3975980,0.765249322179689,1,0,-0.11152432971276605,NA
HY,Cells,177431,84833,262264,0.3234641430009456,1660845,1559228,3220073,0.5157786795516748,1,0,-0.19231453655072916,NA
LSX,Nuclei,12983,23296,36279,0.6421345682075029,3042616,933364,3975980,0.765249322179689,1,0,-0.12311475397218608,NA
LSX,Cells,34280,19543,53823,0.36309756052245323,1660845,1559228,3220073,0.5157786795516748,1,0,-0.15268111902922155,NA
MB,Nuclei,180093,516077,696170,0.7413088757056466,3042616,933364,3975980,0.765249322179689,1,0,-0.023940446474042365,NA
MB,Cells,182283,184896,367179,0.5035582100283513,1660845,1559228,3220073,0.5157786795516748,1,4.181266001346406e-56,-0.012220469523323452,NA
MOp,Nuclei,26245,138574,164819,0.8407647176599785,3042616,933364,3975980,0.765249322179689,0,1,0.07551539548028952,NA
MOp,Cells,153385,94275,247660,0.3806630057336671,1660845,1559228,3220073,0.5157786795516748,1,0,-0.13511567381800765,NA
OLF,Nuclei,30477,149086,179563,0.8302712696936452,3042616,933364,3975980,0.765249322179689,0,1,0.06502194751395618,NA
OLF,Cells,149917,131586,281503,0.4674408443249273,1660845,1559228,3220073,0.5157786795516748,1,0,-0.048337835226747505,NA
PAL,Nuclei,52662,95271,147933,0.644014520086796,3042616,933364,3975980,0.765249322179689,1,0,-0.12123480209289295,NA
PAL,Cells,54611,53438,108049,0.4945719071902563,1660845,1559228,3220073,0.5157786795516748,1,5.957378222913374e-46,-0.02120677236141849,NA
RSP,Nuclei,33287,113446,146733,0.7731457817941431,3042616,933364,3975980,0.765249322179689,1.4819746422086964e-13,0.9999999999998586,0.007896459614454066,NA
RSP,Cells,38204,74075,112279,0.6597404679414672,1660845,1559228,3220073,0.5157786795516748,0,1,0.14396178838979246,NA
S1,Nuclei,6911,41571,48482,0.8574522503197063,3042616,933364,3975980,0.765249322179689,0,1,0.09220292814001729,NA
S1,Cells,52724,23131,75855,0.30493705095247514,1660845,1559228,3220073,0.5157786795516748,1,0,-0.21084162859919964,NA
STRd,Nuclei,4402,41410,45812,0.9039116388719113,3042616,933364,3975980,0.765249322179689,0,1,0.1386623166922223,NA
STRd,Cells,24048,31578,55626,0.5676841764642433,1660845,1559228,3220073,0.5157786795516748,1.3743805059335597e-135,1,0.051905496912568516,NA
SUB,Nuclei,6616,21197,27813,0.7621256247078704,3042616,933364,3975980,0.765249322179689,0.8924869002625272,0.1101541650595729,-0.0031236974718186206,NA
SUB,Cells,49997,52044,102041,0.5100302819454925,1660845,1559228,3220073,0.5157786795516748,0.9999068125418556,9.557344028578789e-5,-0.005748397606182287,NA
TH,Nuclei,117583,309623,427206,0.7247627608226476,3042616,933364,3975980,0.765249322179689,1,0,-0.04048656135704143,NA
TH,Cells,140753,120293,261046,0.46081150448579944,1660845,1559228,3220073,0.5157786795516748,1,0,-0.05496717506587534,NA
VIS,Nuclei,11072,38484,49556,0.7765759948341271,3042616,933364,3975980,0.765249322179689,9.055442853866405e-10,0.9999999991528306,0.011326672654438097,NA
VIS,Cells,148674,112416,261090,0.4305641732735838,1660845,1559228,3220073,0.5157786795516748,1,0,-0.08521450627809096,NA
VISP,Nuclei,12394,49694,62088,0.8003801056564875,3042616,933364,3975980,0.765249322179689,5.39886925066621e-100,1,0.035130783476798544,NA
VISP,Cells,22886,37948,60834,0.6237959036065358,1660845,1559228,3220073,0.5157786795516748,0,1,0.10801722405486103,NA
ACA,MERFISH,45777,7424,53201,0.13954624913065544,768245,3562662,4330907,0.17738663056029602,1,2.4411907215023084e-124,-0.03784038142964058,0.7866785038414823
AUD,MERFISH,35151,6188,41339,0.14968915551900142,768245,3562662,4330907,0.17738663056029602,1,5.2841869833065895e-52,-0.0276974750412946,0.8438581591306574
BS,MERFISH,247027,36573,283600,0.12895980253878703,768245,3562662,4330907,0.17738663056029602,1,0,-0.04842682802150899,0.7269984334865187
CB,MERFISH,172607,210357,382964,0.5492866170188321,768245,3562662,4330907,0.17738663056029602,0,1,0.37189998645853606,3.096550260207589
CTXsp,MERFISH,54414,6204,60618,0.10234583786993962,768245,3562662,4330907,0.17738663056029602,1,0,-0.0750407926903564,0.5769647777099579
ENT,MERFISH,67799,15185,82984,0.18298708184710305,768245,3562662,4330907,0.17738663056029602,1.0986768092424028e-5,0.9999894506426243,0.00560045128680702,1.031572003307788
HPF,MERFISH,167162,39358,206520,0.19057718380786365,768245,3562662,4330907,0.17738663056029602,1.8255428042466032e-57,1,0.01319055324756762,1.0743604701543952
HY,MERFISH,125893,6749,132642,0.05088131964234556,768245,3562662,4330907,0.17738663056029602,1,0,-0.12650531091795048,0.2868385260018248
Isocortex,MERFISH,277421,48705,326126,0.14934411853087456,768245,3562662,4330907,0.17738663056029602,1,0,-0.02804251202942145,0.8419130464294521
LSX,MERFISH,30383,3396,33779,0.1005358358743598,768245,3562662,4330907,0.17738663056029602,1,0,-0.07685079468593621,0.5667610662472468
MB,MERFISH,257085,24323,281408,0.08643322151466909,768245,3562662,4330907,0.17738663056029602,1,0,-0.09095340904562692,0.48725893964872014
MOp,MERFISH,68625,15334,83959,0.18263676318202932,768245,3562662,4330907,0.17738663056029602,3.128001331959286e-5,0.9999698962624186,0.00525013262173329,1.029597115662833
OLF,MERFISH,235781,38211,273992,0.13946027621244417,768245,3562662,4330907,0.17738663056029602,1,0,-0.03792635434785185,0.7861938398172562
PAL,MERFISH,69271,8367,77638,0.10776939127746722,768245,3562662,4330907,0.17738663056029602,1,0,-0.0696172392828288,0.6075395363058943
RSP,MERFISH,62873,23007,85880,0.2678970656730321,768245,3562662,4330907,0.17738663056029602,0,1,0.0905104351127361,1.5102438375814935
S1,MERFISH,174956,27585,202541,0.13619464700974124,768245,3562662,4330907,0.17738663056029602,1,0,-0.04119198355055478,0.7677841705406705
STR,MERFISH,119632,13413,133045,0.10081551354804766,768245,3562662,4330907,0.17738663056029602,1,0,-0.07657111701224836,0.5683377221248879
STRd,MERFISH,169186,64810,233996,0.27697054650506847,768245,3562662,4330907,0.17738663056029602,0,1,0.09958391594477244,1.561394709568727
SUB,MERFISH,12796,2353,15149,0.15532378374810218,768245,3562662,4330907,0.17738663056029602,0.9999999999997954,2.407855304205179e-13,-0.02206284681219383,0.8756228316502445
TH,MERFISH,121417,12240,133657,0.09157769514503544,768245,3562662,4330907,0.17738663056029602,1,0,-0.08580893541526059,0.5162604129509466
VIS,MERFISH,68543,12519,81062,0.15443734425501468,768245,3562662,4330907,0.17738663056029602,1,2.225120223809789e-69,-0.02294928630528134,0.8706256146092105
VISP,MERFISH,46911,15157,62068,0.2441999097763743,768245,3562662,4330907,0.17738663056029602,0,1,0.06681327921607827,1.376653409589217
VS,MERFISH,59302,3110,62412,0.04983016086650003,768245,3562662,4330907,0.17738663056029602,1,0,-0.127556469693796,0.28091271991077205
fiber tracts,MERFISH,265248,53969,319217,0.16906681035157903,768245,3562662,4330907,0.17738663056029602,1,3.948084789581186e-38,-0.00831982020871699,0.9530978169976064
unassigned,MERFISH,607402,73708,681110,0.10821746854399436,768245,3562662,4330907,0.17738663056029602,1,0,-0.06916916201630166,0.6100655286262391
