Zeng_cluster,Macosko_cluster,p_value,Macokso_marker_size,Zeng_marker_size
4852,Ex_Lhx9_Pkhd1,1.6011123267262136e-07,4.0,4.0
1148,Ex_Lhx9_Prok2,8.00606510234552e-08,3.0,4.0
1517,Ex_Lhx9_Qrfprl_2,2.668352727575654e-07,4.0,5.0
4856,Ex_Lhx9_Slc26a7_1,1.3344280981450513e-08,3.0,2.0
3692,Ex_Lhx9_Slc6a2_3,4.003158422803956e-08,3.0,3.0
3381,Ex_Lhx9_Slitrk6,5.602835934044848e-07,7.0,4.0
935,Ex_Lhx9_Slitrk6,9.336591803261916e-07,7.0,5.0
2233,Ex_Lmx1a_Abca8a_1,1.6011123267262136e-07,4.0,4.0
4706,Ex_Lmx1a_Abca8a_1,1.6011123267262136e-07,4.0,4.0
2378,Ex_Lmx1a_Bdnf_4,4.003158422803956e-08,3.0,3.0
2224,Ex_Lmx1a_Crh_Barhl1,8.00606510234552e-08,4.0,3.0
2242,Ex_Lmx1a_Crh_Barhl1,8.00606510234552e-08,4.0,3.0
4636,Ex_Lmx1a_Crhbp_5,4.003158422803956e-08,3.0,3.0
2359,Ex_Lmx1a_Csf2rb2_5,8.00606510234552e-08,4.0,3.0
3538,Ex_Lmx1a_Galnt3_2,8.00606510234552e-08,4.0,3.0
2305,Ex_Lmx1a_Grpr,8.00606510234552e-08,3.0,4.0
996,Ex_Lmx1a_H2-Q10_3,8.00606510234552e-08,3.0,4.0
2200,Ex_Lmx1a_Irx3_1,2.8018584553954155e-07,7.0,3.0
3796,Ex_Lmx1a_Irx3_7,1.6011123267262136e-07,4.0,4.0
4550,Ex_Lmx1a_Irx6_2,1.3343022265138534e-07,5.0,3.0
4607,Ex_Lmx1a_Irx6_2,2.668352727575654e-07,5.0,4.0
2203,Ex_Lmx1a_Irx6_3,1.3343022265138534e-07,5.0,3.0
2207,Ex_Lmx1a_Irx6_3,4.448093660483505e-08,5.0,2.0
2208,Ex_Lmx1a_Irx6_3,2.668352727575654e-07,5.0,4.0
538,Ex_Lmx1a_Irx6_3,6.669623325249725e-07,5.0,6.0
2239,Ex_Lmx1a_Itih5_2,1.6011123267262136e-07,4.0,4.0
2365,Ex_Lmx1a_Itih5_2,8.00606510234552e-08,4.0,3.0
3921,Ex_Lmx1a_Kcp_1,8.00606510234552e-08,4.0,3.0
2302,Ex_Lmx1a_Mab21l3,2.6688561962901027e-08,4.0,2.0
4816,Ex_Lmx1a_Mab21l3,1.6011123267262136e-07,4.0,4.0
1662,Ex_Lmx1a_Odad2_1,4.44683503322212e-07,5.0,5.0
3232,Ex_Lmx1a_Odad2_1,2.668352727575654e-07,5.0,4.0
2789,Ex_Lmx1a_Pkd1l1,8.00606510234552e-08,3.0,4.0
2543,Ex_Lmx1a_Wnt11,8.00606510234552e-08,3.0,4.0
2572,Ex_Lmx1a_Wnt11,8.00606510234552e-08,3.0,4.0
2724,Ex_Lmx1b_1110032F04Rik_1,4.002277374816599e-07,4.0,6.0
4362,Ex_Lmx1b_1110032F04Rik_1,4.002277374816599e-07,4.0,6.0
4358,Ex_Lmx1b_Aldh1a2_1,8.00606510234552e-08,4.0,3.0
4819,Ex_Lmx1b_Amelx,1.6011123267262136e-07,4.0,4.0
2798,Ex_Lmx1b_Arsj_1,8.00606510234552e-08,4.0,3.0
3479,Ex_Lmx1b_Arsj_1,1.6011123267262136e-07,4.0,4.0
3100,Ex_Lmx1b_Cd36_3,8.00606510234552e-08,3.0,4.0
34289,Ex_Lmx1b_Deup1_4,8.00606510234552e-08,4.0,3.0
4224,Ex_Lmx1b_Dynap_1,4.003158422803956e-08,3.0,3.0
4243,Ex_Lmx1b_Dynap_1,4.003158422803956e-08,3.0,3.0
4224,Ex_Lmx1b_Dynap_2,4.003158422803956e-08,3.0,3.0
4224,Ex_Lmx1b_Dynap_3,8.00606510234552e-08,4.0,3.0
4243,Ex_Lmx1b_Dynap_3,8.00606510234552e-08,4.0,3.0
4245,Ex_Lmx1b_Dynap_4,4.4480936604835055e-09,2.0,2.0
4224,Ex_Lmx1b_Dynap_6,4.003158422803956e-08,3.0,3.0
5008,Ex_Lmx1b_Esm1,4.44683503322212e-07,5.0,5.0
959,Ex_Lmx1b_Gm7271,5.602835934044848e-07,4.0,7.0
702,Ex_Lmx1b_Hmx2_1,1.3343022265138534e-07,3.0,5.0
1196,Ex_Lmx1b_Hmx2_3,8.00606510234552e-08,3.0,4.0
3192,Ex_Lmx1b_Hmx2_3,8.00606510234552e-08,3.0,4.0
1926,Ex_Lmx1b_Pou4f1_Arsj_1,8.00606510234552e-08,3.0,4.0
114,Ex_Lmx1b_Pou4f1_Arsj_2,8.00606510234552e-08,4.0,3.0
4838,Ex_Lmx1b_Scn5a_2,4.003158422803956e-08,3.0,3.0
1196,Ex_Lmx1b_Tll2_2,8.00606510234552e-08,3.0,4.0
1411,Ex_Lmx1b_Tll2_2,1.3343022265138534e-07,3.0,5.0
2723,Ex_Lmx1b_Tll2_2,8.00606510234552e-08,3.0,4.0
1106,Ex_Lmx1b_Tmem100_1,2.668352727575654e-07,4.0,5.0
4247,Ex_Lmx1b_Tmem215,8.00606510234552e-08,4.0,3.0
2590,Ex_Lmx1b_Vmn1r206_2,2.668352727575654e-07,4.0,5.0
2428,Ex_Lmx1b_Wdr95,4.003158422803956e-08,3.0,3.0
5110,Ex_Lypd6b_Dipk1c_1,2.0013904039551817e-07,3.0,6.0
1903,Ex_Maff_Atf3_3,2.0013904039551817e-07,3.0,6.0
24472,Ex_Neurod6_Dnah11_2,4.44683503322212e-07,5.0,5.0
4558,Ex_Neurod6_Dnah11_2,2.444375219040734e-06,5.0,11.0
4850,Ex_Neurod6_Dnah11_3,1.6011123267262136e-07,4.0,4.0
5116,Ex_Neurod6_Dnah11_7,4.44683503322212e-07,5.0,5.0
182,Ex_Neurod6_E130114P18Rik,1.400268588628408e-06,6.0,7.0
1563,Ex_Neurod6_Pou4f3_1,4.003158422803956e-08,3.0,3.0
4886,Ex_Neurod6_Pou4f3_1,1.3343022265138534e-07,3.0,5.0
4864,Ex_Neurod6_Pou4f3_3,1.6011123267262136e-07,4.0,4.0
1031,Ex_Neurod6_Slc5a7,2.668352727575654e-07,4.0,5.0
182,Ex_Neurod6_Tgfbr2,9.336591803261916e-07,5.0,7.0
485,Ex_Neurod6_Tgfbr2,2.668352727575654e-07,5.0,4.0
486,Ex_Neurod6_Tgfbr2,2.668352727575654e-07,5.0,4.0
636,Ex_Nkx2-1_Pmch_2,1.3343022265138534e-07,3.0,5.0
2447,Ex_Nkx2-2_Grp_2,4.003158422803956e-08,3.0,3.0
2163,Ex_Nkx2-2_Robo3_1,1.3344280981450513e-08,3.0,2.0
2428,Ex_Nkx2-4_Calcr_10,4.003158422803956e-08,3.0,3.0
2291,Ex_Nkx2-4_Calcr_2,1.3343022265138534e-07,5.0,3.0
2440,Ex_Nkx2-4_Calcr_2,2.517254520528354e-11,5.0,4.0
4961,Ex_Nkx2-4_Calcr_2,1.3343022265138534e-07,5.0,3.0
2291,Ex_Nkx2-4_Calcr_3,8.00606510234552e-08,4.0,3.0
2440,Ex_Nkx2-4_Calcr_3,1.6011123267262136e-07,4.0,4.0
4961,Ex_Nkx2-4_Calcr_3,8.00606510234552e-08,4.0,3.0
1208,Ex_Nkx2-4_Calcr_4,1.6011123267262136e-07,4.0,4.0
2325,Ex_Nkx2-4_Cd44_3,4.002277374816599e-07,6.0,4.0
2450,Ex_Nkx2-4_Cdkn1c_2,1.6011123267262136e-07,4.0,4.0
3018,Ex_Nkx2-4_Grpr_2,1.6011123267262136e-07,4.0,4.0
4850,Ex_Nkx2-4_Svep1_1,1.6011123267262136e-07,4.0,4.0
4705,Ex_Nkx6-1_Foxd3_2,1.6011123267262136e-07,4.0,4.0
674,Ex_Nkx6-1_Foxd3_2,1.6011123267262136e-07,4.0,4.0
2161,Ex_Nkx6-1_Shisal2b,8.00606510234552e-08,3.0,4.0
2348,Ex_Nkx6-1_Shisal2b,1.3344280981450513e-08,3.0,2.0
4474,Ex_Nxph4_Arhgap36,8.00606510234552e-08,4.0,3.0
4557,Ex_Nxph4_Arhgap36,1.6011123267262136e-07,4.0,4.0
4559,Ex_Nxph4_Arhgap36,2.668352727575654e-07,4.0,5.0
4555,Ex_Nxph4_Chodl_1,2.668352727575654e-07,5.0,4.0
4570,Ex_Nxph4_Chodl_1,1.3343022265138534e-07,5.0,3.0
529,Ex_Nxph4_Crh,4.448093660483505e-08,5.0,2.0
4574,Ex_Nxph4_Ednra,8.00606510234552e-08,4.0,3.0
4906,Ex_Nxph4_Hpgd,8.00606510234552e-08,4.0,3.0
4757,Ex_Nxph4_Krt73,4.003158422803956e-08,3.0,3.0
27,Ex_Nxph4_Lman1l,1.6011123267262136e-07,4.0,4.0
138,Ex_Nxph4_Moxd1_Igfbp4,4.002277374816599e-07,4.0,6.0
4569,Ex_Nxph4_Pou4f2,2.0013904039551817e-07,6.0,3.0
4910,Ex_Nxph4_Pou4f2,4.002277374816599e-07,6.0,4.0
34,Ex_Nxph4_Ror1,2.668352727575654e-07,4.0,5.0
35,Ex_Nxph4_Ror1,1.6011123267262136e-07,4.0,4.0
4528,Ex_Nxph4_Twist1_2,1.6011123267262136e-07,4.0,4.0
201,Ex_Nxph4_Zar1l_1,2.668352727575654e-07,4.0,5.0
296,Ex_Nxph4_Zar1l_2,8.00606510234552e-08,4.0,3.0
4562,Ex_Nxph4_Zar1l_2,1.6011123267262136e-07,4.0,4.0
4557,Ex_Nxph4_Zar1l_3,8.00606510234552e-08,3.0,4.0
4558,Ex_Nxph4_Zar1l_3,7.337277657883017e-07,3.0,11.0
4596,Ex_Nxph4_Zar1l_3,8.00606510234552e-08,3.0,4.0
4665,Ex_Nxph4_Zar1l_3,8.00606510234552e-08,3.0,4.0
4705,Ex_Nxph4_Zar1l_3,8.00606510234552e-08,3.0,4.0
1106,Ex_Onecut3_Frem3_3,2.668352727575654e-07,4.0,5.0
1210,Ex_Onecut3_Frem3_3,1.6011123267262136e-07,4.0,4.0
2495,Ex_Onecut3_Frem3_3,1.6011123267262136e-07,4.0,4.0
15067,Ex_Onecut3_Frem3_4,1.6011123267262136e-07,4.0,4.0
4666,Ex_Onecut3_Pirt_3,8.00606510234552e-08,3.0,4.0
4247,Ex_Onecut3_Tnfaip8l3,4.003158422803956e-08,3.0,3.0
143,Ex_Oprk1_Col11a1,1.3344280981450513e-08,2.0,3.0
5143,Ex_PItx2_Cox4i2,1.6011123267262136e-07,4.0,4.0
2951,Ex_Pax2_C1ql4,2.6688561962901027e-08,4.0,2.0
3863,Ex_Pax2_C1ql4,2.668352727575654e-07,4.0,5.0
4072,Ex_Pax2_Erfl_3,1.3344280981450513e-08,3.0,2.0
3863,Ex_Pax2_Mafb_1,2.668352727575654e-07,4.0,5.0
2964,Ex_Pax2_Vcan,1.6011123267262136e-07,4.0,4.0
4881,Ex_Pax6_Avpr1a_1,4.003158422803956e-08,3.0,3.0
1665,Ex_Pax6_Gna14_1,1.6011123267262136e-07,4.0,4.0
1024,Ex_Pax6_Igfbpl1,1.6011123267262136e-07,4.0,4.0
15069,Ex_Pax6_Mtnr1a,2.668352727575654e-07,4.0,5.0
1665,Ex_Pax6_Otx1_2,1.6011123267262136e-07,4.0,4.0
1003,Ex_Pax6_Otx1_3,2.668352727575654e-07,5.0,4.0
1665,Ex_Pax6_Otx1_3,2.668352727575654e-07,5.0,4.0
1016,Ex_Pax6_Pappa2_1,1.3343022265138534e-07,5.0,3.0
5146,Ex_Pax6_Pappa2_1,2.668352727575654e-07,5.0,4.0
987,Ex_Pax6_Pappa2_1,2.668352727575654e-07,5.0,4.0
624,Ex_Pax6_Pappa2_2,2.668352727575654e-07,4.0,5.0
1755,Ex_Pax6_Pappa2_3,1.6011123267262136e-07,4.0,4.0
1850,Ex_Pax6_Pgr15l_1,8.00606510234552e-08,3.0,4.0
24561,Ex_Pax6_Pgr15l_2,1.3344280981450513e-08,3.0,2.0
1159,Ex_Pax6_Qrfprl_1,2.668352727575654e-07,4.0,5.0
1794,Ex_Pax6_Qrfprl_1,2.668352727575654e-07,4.0,5.0
1159,Ex_Pax6_Qrfprl_2,1.3343022265138534e-07,3.0,5.0
1437,Ex_Pax6_Slc5a7_1,2.668352727575654e-07,4.0,5.0
1128,Ex_Pax6_Them7,8.00606510234552e-08,4.0,3.0
2305,Ex_Pax6_Vgll3_2,1.6011123267262136e-07,4.0,4.0
2307,Ex_Pax6_Vgll3_2,1.6011123267262136e-07,4.0,4.0
4705,Ex_Pax6_Vgll3_2,1.6011123267262136e-07,4.0,4.0
3063,Ex_Pax8_Tnfrsf8,1.3344280981450513e-08,2.0,3.0
3068,Ex_Pax8_Tnfrsf8,1.3344280981450513e-08,2.0,3.0
126,Ex_Phox2a_Cyp26b1_1,1.6011123267262136e-07,4.0,4.0
1015,Ex_Phox2a_Cyp26b1_2,8.00606510234552e-08,3.0,4.0
1026,Ex_Phox2a_Cyp26b1_2,8.00606510234552e-08,3.0,4.0
3615,Ex_Phox2b_4930469K13Rik_1,4.003158422803956e-08,3.0,3.0
3884,Ex_Phox2b_4930469K13Rik_1,1.3344280981450513e-08,3.0,2.0
3909,Ex_Phox2b_Adam33_1,8.00606510234552e-08,4.0,3.0
3889,Ex_Phox2b_Adam33_3,1.0069374288974648e-11,4.0,4.0
3947,Ex_Phox2b_Adam33_3,8.00606510234552e-08,4.0,3.0
4321,Ex_Phox2b_Adam33_3,8.00606510234552e-08,4.0,3.0
3872,Ex_Phox2b_Adamtsl1_Col6a2,8.00606510234552e-08,4.0,3.0
3874,Ex_Phox2b_Adamtsl1_Col6a2,1.6011123267262136e-07,4.0,4.0
3777,Ex_Phox2b_Alkal2_1,1.3344280981450513e-08,3.0,2.0
15053,Ex_Phox2b_Alkal2_2,4.448093660483505e-08,5.0,2.0
4373,Ex_Phox2b_Alkal2_2,4.44683503322212e-07,5.0,5.0
1135,Ex_Phox2b_Bmp3_4,1.6011123267262136e-07,4.0,4.0
3909,Ex_Phox2b_Bmp3_4,8.00606510234552e-08,4.0,3.0
3260,Ex_Phox2b_Chodl,1.6011123267262136e-07,4.0,4.0
3889,Ex_Phox2b_Chrna5_1,8.00606510234552e-08,3.0,4.0
3889,Ex_Phox2b_Chrna5_2,1.6011123267262136e-07,4.0,4.0
1179,Ex_Phox2b_Cyp26b1_1,1.3343022265138534e-07,3.0,5.0
3898,Ex_Phox2b_Cyp26b1_1,8.00606510234552e-08,3.0,4.0
4019,Ex_Phox2b_Cyp26b1_1,4.003158422803956e-08,3.0,3.0
4321,Ex_Phox2b_Cyp26b1_2,4.003158422803956e-08,3.0,3.0
3918,Ex_Phox2b_Cyp39a1_Mdfic2_2,4.003158422803956e-08,3.0,3.0
3837,Ex_Phox2b_Cyp39a1_Mdfic2_4,1.3343022265138534e-07,5.0,3.0
5144,Ex_Phox2b_Cyp39a1_Mdfic2_4,1.3343022265138534e-07,5.0,3.0
3930,Ex_Phox2b_Cyp39a1_Mdfic2_5,8.00606510234552e-08,4.0,3.0
3896,Ex_Phox2b_Ddc,8.00606510234552e-08,3.0,4.0
1621,Ex_Phox2b_Dsc3_1,1.6011123267262136e-07,4.0,4.0
1622,Ex_Phox2b_Dsc3_1,8.00606510234552e-08,4.0,3.0
1849,Ex_Phox2b_Dsc3_1,1.6011123267262136e-07,4.0,4.0
4323,Ex_Phox2b_Dsc3_3,4.003158422803956e-08,3.0,3.0
4019,Ex_Phox2b_Frem2,4.003158422803956e-08,3.0,3.0
3909,Ex_Phox2b_Frzb,8.00606510234552e-08,4.0,3.0
752,Ex_Phox2b_Gda_1,4.003158422803956e-08,3.0,3.0
3684,Ex_Phox2b_Gda_2,4.003158422803956e-08,3.0,3.0
3872,Ex_Phox2b_Gdpd2,8.00606510234552e-08,4.0,3.0
3874,Ex_Phox2b_Gdpd2,1.6011123267262136e-07,4.0,4.0
4323,Ex_Phox2b_Igfbpl1_1,8.00606510234552e-08,4.0,3.0
3910,Ex_Phox2b_Igfbpl1_4,1.3343022265138534e-07,3.0,5.0
4322,Ex_Phox2b_Igfbpl1_4,8.00606510234552e-08,3.0,4.0
4320,Ex_Phox2b_Igfbpl1_5,4.003158422803956e-08,3.0,3.0
3909,Ex_Phox2b_Kcnj2_1,2.0013904039551817e-07,6.0,3.0
3919,Ex_Phox2b_Kcnj2_2,8.00606510234552e-08,4.0,3.0
3921,Ex_Phox2b_Mdfic2_1,4.003158422803956e-08,3.0,3.0
3932,Ex_Phox2b_Nmu,2.6688561962901027e-08,4.0,2.0
4664,Ex_Phox2b_Nmu,8.00606510234552e-08,4.0,3.0
3888,Ex_Phox2b_Npffr2_2,1.6011123267262136e-07,4.0,4.0
3912,Ex_Phox2b_Npffr2_2,8.00606510234552e-08,4.0,3.0
3913,Ex_Phox2b_Npffr2_2,8.00606510234552e-08,4.0,3.0
3888,Ex_Phox2b_Nr1h4_2,1.6011123267262136e-07,4.0,4.0
3913,Ex_Phox2b_Nr1h4_2,8.00606510234552e-08,4.0,3.0
3900,Ex_Phox2b_Nts_1,4.003158422803956e-08,3.0,3.0
3930,Ex_Phox2b_Nts_2,8.00606510234552e-08,4.0,3.0
4253,Ex_Phox2b_Olig3_5,4.003158422803956e-08,3.0,3.0
4149,Ex_Phox2b_Olig3_7,4.003158422803956e-08,3.0,3.0
4325,Ex_Phox2b_Olig3_7,4.003158422803956e-08,3.0,3.0
3919,Ex_Phox2b_Pdyn_1,8.00606510234552e-08,4.0,3.0
548,Ex_Phox2b_Prok1,5.602835934044848e-07,4.0,7.0
3903,Ex_Phox2b_Shisa3,8.00606510234552e-08,3.0,4.0
3911,Ex_Phox2b_Six2_3,8.00606510234552e-08,3.0,4.0
3872,Ex_Phox2b_Slitrk6,8.00606510234552e-08,4.0,3.0
3874,Ex_Phox2b_Slitrk6,1.6011123267262136e-07,4.0,4.0
3917,Ex_Phox2b_Tac2_2,8.00606510234552e-08,4.0,3.0
4322,Ex_Phox2b_Tlx1_2,8.00606510234552e-08,3.0,4.0
192,Ex_Phox2b_Vmn1r196,3.7356937936714357e-07,3.0,8.0
4771,Ex_Phox2b_Zbbx_Nts_1,4.003158422803956e-08,3.0,3.0
4977,Ex_Pitx2_Frem3_1,8.00606510234552e-08,4.0,3.0
3921,Ex_Pitx2_Odad2_2,4.003158422803956e-08,3.0,3.0
2360,Ex_Pitx2_Pdpn,8.00606510234552e-08,3.0,4.0
1985,Ex_Pitx2_Wdr95,4.003158422803956e-08,3.0,3.0
3070,Ex_Pitx2_Zbtb7c_1,2.668352727575654e-07,4.0,5.0
3078,Ex_Pitx2_Zbtb7c_1,2.6688561962901027e-08,4.0,2.0
4443,Ex_Pitx2_Zbtb7c_2,8.00606510234552e-08,4.0,3.0
2108,Ex_Pitx2_Zbtb7c_4,1.6011123267262136e-07,4.0,4.0
3070,Ex_Pitx2_Zbtb7c_4,2.668352727575654e-07,4.0,5.0
3078,Ex_Pitx2_Zbtb7c_4,2.6688561962901027e-08,4.0,2.0
2208,Ex_Pitx2_Zbtb7c_5,8.00606510234552e-08,3.0,4.0
1913,Ex_Pitx2_Zbtb7c_7,4.003158422803956e-08,3.0,3.0
1923,Ex_Pitx2_Zbtb7c_7,4.003158422803956e-08,3.0,3.0
1939,Ex_Pitx2_Zbtb7c_7,1.3344280981450513e-08,3.0,2.0
1621,Ex_Plcg2_Traf1_1,1.6011123267262136e-07,4.0,4.0
5023,Ex_Plekhg1_Col27a1_Calca,1.6011123267262136e-07,4.0,4.0
5042,Ex_Plekhg1_Col27a1_Egflam_1,5.0343309376260907e-11,4.0,6.0
5022,Ex_Plekhg1_Col27a1_Npsr1_2,4.003158422803956e-08,3.0,3.0
5023,Ex_Plekhg1_Col27a1_Npsr1_2,8.00606510234552e-08,3.0,4.0
5040,Ex_Plekhg1_Col27a1_Npsr1_2,8.00606510234552e-08,3.0,4.0
561,Ex_Plekhg1_Epha1_Cd44_2,2.668352727575654e-07,5.0,4.0
5022,Ex_Plekhg1_Epha1_Smoc2_2,4.003158422803956e-08,3.0,3.0
5023,Ex_Plekhg1_Epha1_Smoc2_2,8.00606510234552e-08,3.0,4.0
5040,Ex_Plekhg1_Epha1_Smoc2_2,8.00606510234552e-08,3.0,4.0
148,Ex_Plekhg1_Nox4_Anxa13_1,9.336591803261916e-07,7.0,5.0
282,Ex_Plekhg1_Nox4_Anxa13_1,5.602835934044848e-07,7.0,4.0
5030,Ex_Plekhg1_Pth2r_Frem3_4,4.003158422803956e-08,3.0,3.0
2794,Ex_Pou4f1_Abcc9_2,8.00606510234552e-08,4.0,3.0
1688,Ex_Pou4f1_Abcc9_3,1.6011123267262136e-07,4.0,4.0
2560,Ex_Pou4f1_Htr5b_2,1.6011123267262136e-07,4.0,4.0
182,Ex_Pou4f1_Htr5b_5,1.400268588628408e-06,6.0,7.0
4557,Ex_Pou4f1_Plscr5_1,7.469978074418258e-07,8.0,4.0
4558,Ex_Pou4f1_Plscr5_1,6.838441923903006e-06,8.0,11.0
4569,Ex_Pou4f1_Plscr5_1,3.7356937936714357e-07,8.0,3.0
4596,Ex_Pou4f1_Plscr5_1,7.469978074418258e-07,8.0,4.0
4665,Ex_Pou4f1_Plscr5_1,7.469978074418258e-07,8.0,4.0
4705,Ex_Pou4f1_Plscr5_1,7.469978074418258e-07,8.0,4.0
4910,Ex_Pou4f1_Plscr5_1,7.469978074418258e-07,8.0,4.0
1538,Ex_Pou4f1_Plscr5_2,4.002277374816599e-07,6.0,4.0
2233,Ex_Pou4f1_Plscr5_2,4.002277374816599e-07,6.0,4.0
3314,Ex_Pou4f1_Plscr5_2,4.002277374816599e-07,6.0,4.0
34185,Ex_Pou4f1_Plscr5_2,1.000317667226508e-06,6.0,6.0
4259,Ex_Pou4f1_Plscr5_2,2.0013904039551817e-07,6.0,3.0
4477,Ex_Pou4f1_Plscr5_2,4.002277374816599e-07,6.0,4.0
4599,Ex_Pou4f1_Plscr5_2,2.0013904039551817e-07,6.0,3.0
4614,Ex_Pou4f1_Plscr5_2,1.000317667226508e-06,6.0,6.0
4617,Ex_Pou4f1_Plscr5_2,4.002277374816599e-07,6.0,4.0
4705,Ex_Pou4f1_Plscr5_2,4.002277374816599e-07,6.0,4.0
4984,Ex_Pou4f1_Plscr5_2,2.0013904039551817e-07,6.0,3.0
4614,Ex_Pou4f1_Plscr5_3,1.000317667226508e-06,6.0,6.0
4617,Ex_Pou4f1_Plscr5_3,4.002277374816599e-07,6.0,4.0
4679,Ex_Pou4f1_Plscr5_3,6.669623325249725e-07,6.0,5.0
1517,Ex_Pou4f1_Plscr5_4,2.668352727575654e-07,4.0,5.0
4667,Ex_Pou4f1_Plscr5_4,7.469978074418258e-07,4.0,8.0
4670,Ex_Pou4f1_Plscr5_4,4.002277374816599e-07,4.0,6.0
3433,Ex_Pou4f1_Plscr5_5,1.6011123267262136e-07,4.0,4.0
3924,Ex_Pou4f1_Plscr5_5,8.00606510234552e-08,4.0,3.0
3048,Ex_Pou4f1_Plscr5_6,2.668352727575654e-07,5.0,4.0
4667,Ex_Pou4f1_Plscr5_6,3.523159043616182e-10,5.0,8.0
4670,Ex_Pou4f1_Plscr5_6,6.669623325249725e-07,5.0,6.0
1163,Ex_Pou4f1_Plscr5_9,1.6011123267262136e-07,4.0,4.0
3738,Ex_Pou4f1_Plscr5_9,8.00606510234552e-08,4.0,3.0
758,Ex_Pou4f1_Plscr5_9,2.668352727575654e-07,4.0,5.0
842,Ex_Pou4f1_Pth2r,4.44683503322212e-07,5.0,5.0
3964,Ex_Pou4f1_Trim21,1.3343022265138534e-07,5.0,3.0
4893,Ex_Pou4f2_Gdpd4,1.3344280981450513e-08,2.0,3.0
4813,Ex_Pou4f2_Hpse2_1,8.00606510234552e-08,4.0,3.0
24576,Ex_Pou4f2_Ramp3,2.668352727575654e-07,5.0,4.0
4674,Ex_Pou4f2_Ramp3,4.44683503322212e-07,5.0,5.0
4893,Ex_Pou4f2_Sult3a2_1,1.3343022265138534e-07,5.0,3.0
15062,Ex_Pou4f2_Sult3a2_11,5.602835934044848e-07,4.0,7.0
3909,Ex_Pou4f2_Sult3a2_11,8.00606510234552e-08,4.0,3.0
4909,Ex_Pou4f2_Sult3a2_11,8.00606510234552e-08,4.0,3.0
1163,Ex_Pou4f2_Sult3a2_3,1.6011123267262136e-07,4.0,4.0
