Study_ID|Celltype_1,Study_ID|Celltype_2
Macosko|Astro_Emid1_Cd38,Zeng|14862
Macosko|Astro_Emid1_Gdf10,Zeng|14873
Macosko|Astro_Ephb1_Fzd2,Zeng|14939
Macosko|Astro_Fabp7_Hs3st3a1_1,Zeng|14951
Macosko|Astro_Fabp7_Hs3st3a1_2,Zeng|14953
Macosko|Astro_Fabp7_Hs3st3a1_3,Zeng|14858
Macosko|Astro_Fabp7_Hs3st3a1_5,Zeng|14857
Macosko|Astro_Fabp7_Wt1,Zeng|14886
Macosko|CholEx_Fbxl7_Defa24,Zeng|4050
Macosko|CholEx_Hoxb5_Prdm16_1,Zeng|3628
Macosko|CholEx_Irx2_Gm5741,Zeng|2894
Macosko|CholEx_Irx2_Slc43a3_1,Zeng|2878
Macosko|CholEx_Irx2_Slc43a3_2,Zeng|2880
Macosko|CholEx_Lhx9_Evx2_Crabp1,Zeng|24678
Macosko|CholEx_Nkx2-4_Hmcn1_1,Zeng|2330
Macosko|CholEx_Pax2_Shisal2b,Zeng|24593
Macosko|CholEx_Tcf24_Oxtr,Zeng|2670
Macosko|CholInh_Ecel1_Ghrh_2,Zeng|2052
Macosko|CholInh_Ecel1_Nid1,Zeng|571
Macosko|Chol_C1ql4_Olfr1033,Zeng|2663
Macosko|Chol_Ecel1_1700025C18Rik_1,Zeng|589
Macosko|Chol_Ecel1_1700025C18Rik_2,Zeng|587
Macosko|Chol_Ecel1_Gm7271,Zeng|584
Macosko|Chol_Ecel1_Sall4,Zeng|586
Macosko|Chol_Tbx20_S100a11_4,Zeng|3894
Macosko|DC_Slamf7_Gcsam,Zeng|5277
Macosko|DopEx_Calb1_Aqp1,Zeng|2396
Macosko|DopEx_Calb1_Col6a5,Zeng|2400
Macosko|DopEx_Calb1_Lpl_1,Zeng|2413
Macosko|DopEx_Calb1_Lpl_2,Zeng|2395
Macosko|DopEx_Calb1_Npw_2,Zeng|2397
Macosko|DopEx_Calb1_Trpv1,Zeng|2402
Macosko|Endo_Flt1_Acta2_Olfr558_3,Zeng|5249
Macosko|Endo_Flt1_Kcnj8,Zeng|5243
Macosko|Endo_Flt1_Rgs5_Slc19a3_1,Zeng|5255
Macosko|ExInh_Lmx1b_Met,Zeng|2420
Macosko|ExInh_Lmx1b_Slc26a7_2,Zeng|2425
Macosko|Ex_Abi3bp_Hcrtr2,Zeng|977
Macosko|Ex_Abi3bp_Insyn2b,Zeng|292
Macosko|Ex_Abi3bp_Pnmt,Zeng|296
Macosko|Ex_Abi3bp_Tfap2d,Zeng|281
Macosko|Ex_C1ql4_Asb4,Zeng|4968
Macosko|Ex_C1ql4_Cox6a2_1,Zeng|4695
Macosko|Ex_C1ql4_Cpne7_4,Zeng|3867
Macosko|Ex_C1ql4_Crispld2_1,Zeng|2645
Macosko|Ex_C1ql4_Crispld2_2,Zeng|2660
Macosko|Ex_C1ql4_Drd1_4,Zeng|2671
Macosko|Ex_C1ql4_Drd1_7,Zeng|2664
Macosko|Ex_C1ql4_Foxd3_2,Zeng|3083
Macosko|Ex_C1ql4_Myo18b_1,Zeng|24680
Macosko|Ex_C1ql4_Nostrin,Zeng|3868
Macosko|Ex_C1ql4_Prph,Zeng|4717
Macosko|Ex_C1ql4_Rgcc_3,Zeng|4719
Macosko|Ex_C1ql4_Rgcc_4,Zeng|4715
Macosko|Ex_C1ql4_Teddm3_3,Zeng|4754
Macosko|Ex_C1ql4_Tgm6_3,Zeng|2666
Macosko|Ex_C1ql4_Tnfrsf11b_1,Zeng|4718
Macosko|Ex_C1ql4_Tnnt2,Zeng|24574
Macosko|Ex_C1ql4_Trhr_1,Zeng|4751
Macosko|Ex_C1ql4_Trhr_2,Zeng|4742
Macosko|Ex_C1ql4_Trhr_7,Zeng|4744
Macosko|Ex_C1ql4_Wnt2,Zeng|4707
Macosko|Ex_Ccn2_Nmbr_1,Zeng|20
Macosko|Ex_Ccn2_Prph,Zeng|23
Macosko|Ex_Ccn3_Fezf2_Dcn_2,Zeng|446
Macosko|Ex_Ccn3_Fezf2_Vgll3_1,Zeng|438
Macosko|Ex_Ccn3_Fezf2_Vgll3_2,Zeng|442
Macosko|Ex_Ccn3_Slc30a3_Grp,Zeng|474
Macosko|Ex_Cplx3_Samd9l,Zeng|19
Macosko|Ex_Crym_Chrna5,Zeng|328
Macosko|Ex_Crym_Cldn22,Zeng|421
Macosko|Ex_Crym_Cxcl12,Zeng|483
Macosko|Ex_Crym_Mndal_1,Zeng|414
Macosko|Ex_Crym_Nuak2,Zeng|297
Macosko|Ex_Crym_Odad2_1,Zeng|428
Macosko|Ex_Crym_Odad2_3,Zeng|429
Macosko|Ex_Crym_Plagl1_1,Zeng|425
Macosko|Ex_Crym_Plagl1_2,Zeng|426
Macosko|Ex_Crym_Prrx1,Zeng|417
Macosko|Ex_Dab2_Tmem100_2,Zeng|3665
Macosko|Ex_Dach2_Arhgap36_2,Zeng|4860
Macosko|Ex_Dach2_Arhgap36_3,Zeng|4862
Macosko|Ex_Dcn_Grik3,Zeng|114
Macosko|Ex_Defb1_Bhlhe23_1,Zeng|4843
Macosko|Ex_Defb1_Fgf17,Zeng|4732
Macosko|Ex_Defb1_Ldoc1_2,Zeng|4708
Macosko|Ex_Defb1_Wif1,Zeng|4690
Macosko|Ex_Defb1_Zic2,Zeng|4533
Macosko|Ex_Dkk2_Morc1_1,Zeng|4256
Macosko|Ex_Dlk1_Nms,Zeng|3616
Macosko|Ex_Dmrta2_Agtr1b_3,Zeng|2418
Macosko|Ex_Dmrta2_Arhgap36_2,Zeng|2211
Macosko|Ex_Dmrta2_Cd274,Zeng|2350
Macosko|Ex_Dmrta2_Chat_2,Zeng|2356
Macosko|Ex_Dmrta2_Chrna6_1,Zeng|2380
Macosko|Ex_Dmrta2_Chrna6_3,Zeng|2381
Macosko|Ex_Dmrta2_Chrna6_6,Zeng|2374
Macosko|Ex_Dmrta2_Col6a6,Zeng|2382
Macosko|Ex_Dmrta2_Col6a6_1,Zeng|2212
Macosko|Ex_Dmrta2_Crhbp_4,Zeng|2354
Macosko|Ex_Dmrta2_Csf2rb2_1,Zeng|2347
Macosko|Ex_Dmrta2_Fn1_1,Zeng|2148
Macosko|Ex_Dmrta2_Greb1_2,Zeng|2210
Macosko|Ex_Dmrta2_Lsp1,Zeng|2362
Macosko|Ex_Dmrta2_Nmu,Zeng|2150
Macosko|Ex_Dmrta2_Tgm6_1,Zeng|2201
Macosko|Ex_Dsp_Atf3_2,Zeng|1402
Macosko|Ex_Dsp_Atf3_3,Zeng|1401
Macosko|Ex_Dsp_Gsg1l,Zeng|1403
Macosko|Ex_Dsp_Moxd1_1,Zeng|1405
Macosko|Ex_Ebf2_4930469K13Rik_1,Zeng|4255
Macosko|Ex_Ebf2_6430628N08Rik_3,Zeng|4242
Macosko|Ex_Ebf2_6430628N08Rik_5,Zeng|4225
Macosko|Ex_Ebf2_Abcc9_4,Zeng|4233
Macosko|Ex_Ebf2_Antxr2,Zeng|4743
Macosko|Ex_Ebf2_Atp8b1,Zeng|4614
Macosko|Ex_Ebf2_Bhlhe23,Zeng|4861
Macosko|Ex_Ebf2_Bmp7_1,Zeng|4505
Macosko|Ex_Ebf2_C1ql2_2,Zeng|4722
Macosko|Ex_Ebf2_C1qtnf7_1,Zeng|4335
Macosko|Ex_Ebf2_C1qtnf7_2,Zeng|4334
Macosko|Ex_Ebf2_Catspere1_1,Zeng|4070
Macosko|Ex_Ebf2_Clec9a_1,Zeng|4628
Macosko|Ex_Ebf2_Clec9a_2,Zeng|4626
Macosko|Ex_Ebf2_Cox8b_1,Zeng|8173
Macosko|Ex_Ebf2_Crhr2_2,Zeng|4331
Macosko|Ex_Ebf2_Ddit4l_1,Zeng|4336
Macosko|Ex_Ebf2_Ddit4l_3,Zeng|4337
Macosko|Ex_Ebf2_Emilin2,Zeng|4230
Macosko|Ex_Ebf2_Fam83f,Zeng|4912
Macosko|Ex_Ebf2_Fer1l6_1,Zeng|4333
Macosko|Ex_Ebf2_Fgfr4,Zeng|4829
Macosko|Ex_Ebf2_Fzd9_3,Zeng|8175
Macosko|Ex_Ebf2_Gask1b_1,Zeng|4330
Macosko|Ex_Ebf2_Ghrh_3,Zeng|4507
Macosko|Ex_Ebf2_Gli2,Zeng|4059
Macosko|Ex_Ebf2_Glp1r_2,Zeng|5409
Macosko|Ex_Ebf2_Gng8,Zeng|4610
Macosko|Ex_Ebf2_Gpsm3_1,Zeng|4815
Macosko|Ex_Ebf2_Ifi213_1,Zeng|4622
Macosko|Ex_Ebf2_Ifi213_3,Zeng|4627
Macosko|Ex_Ebf2_Iigp1_1,Zeng|2679
Macosko|Ex_Ebf2_Il15_1,Zeng|4471
Macosko|Ex_Ebf2_Il15_3,Zeng|4504
Macosko|Ex_Ebf2_Krt17_1,Zeng|8176
Macosko|Ex_Ebf2_Lpar1,Zeng|4739
Macosko|Ex_Ebf2_Ltbp1_1,Zeng|4811
Macosko|Ex_Ebf2_Ltbp1_2,Zeng|4816
Macosko|Ex_Ebf2_Mgst2,Zeng|4527
Macosko|Ex_Ebf2_Mybpc1,Zeng|4823
Macosko|Ex_Ebf2_Nat8f6_1,Zeng|4344
Macosko|Ex_Ebf2_Nat8f6_2,Zeng|4345
Macosko|Ex_Ebf2_Nek11_2,Zeng|4916
Macosko|Ex_Ebf2_Niban1_2,Zeng|2870
Macosko|Ex_Ebf2_Nmu_2,Zeng|4328
Macosko|Ex_Ebf2_Npffr2_2,Zeng|4640
Macosko|Ex_Ebf2_Olfr273_2,Zeng|4239
Macosko|Ex_Ebf2_Pla2g5_11,Zeng|4346
Macosko|Ex_Ebf2_Postn,Zeng|2115
Macosko|Ex_Ebf2_Ptpn14,Zeng|3987
Macosko|Ex_Ebf2_Rab38,Zeng|4694
Macosko|Ex_Ebf2_Rxfp1,Zeng|4340
Macosko|Ex_Ebf2_Sec1_1,Zeng|4231
Macosko|Ex_Ebf2_Sec1_4,Zeng|4232
Macosko|Ex_Ebf2_Slc38a11,Zeng|4492
Macosko|Ex_Ebf2_Slc5a7,Zeng|4821
Macosko|Ex_Ebf2_Sp5_4,Zeng|4817
Macosko|Ex_Ebf2_Sp5_8,Zeng|4818
Macosko|Ex_Ebf2_Spef2_1,Zeng|4599
Macosko|Ex_Ebf2_Spef2_2,Zeng|4512
Macosko|Ex_Ebf2_Tac2_1,Zeng|4234
Macosko|Ex_Ebf2_Tac2_2,Zeng|4238
Macosko|Ex_Ebf2_Tnc,Zeng|4477
Macosko|Ex_Ebf2_Tnfaip8_5,Zeng|8163
Macosko|Ex_Ebf2_Upp1_1,Zeng|4248
Macosko|Ex_Ebf3_Adam33_1,Zeng|4259
Macosko|Ex_Ebf3_Adam33_11,Zeng|4265
Macosko|Ex_Ebf3_Adam33_7,Zeng|4258
Macosko|Ex_Ebf3_Dsc3,Zeng|4264
Macosko|Ex_Emx2_Foxa2_3,Zeng|2158
Macosko|Ex_Evx1_Nptx2,Zeng|3756
Macosko|Ex_Evx1_Papln,Zeng|24424
Macosko|Ex_Evx2_Adamts19,Zeng|4975
Macosko|Ex_Evx2_Erfl_1,Zeng|24588
Macosko|Ex_Evx2_Gulo,Zeng|3764
Macosko|Ex_Evx2_Jaml,Zeng|24408
Macosko|Ex_Evx2_Krt19,Zeng|4969
Macosko|Ex_Evx2_Ngfr,Zeng|4962
Macosko|Ex_Evx2_Npsr1,Zeng|3733
Macosko|Ex_Evx2_Pdyn,Zeng|3107
Macosko|Ex_Evx2_Prdm6_1,Zeng|24666
Macosko|Ex_Evx2_Prdm6_2,Zeng|24665
Macosko|Ex_Evx2_Tafa3,Zeng|3769
Macosko|Ex_Evx2_Tnnt2,Zeng|24589
Macosko|Ex_Fam163a_Adad2,Zeng|3722
Macosko|Ex_Fam163a_Npy2r,Zeng|3724
Macosko|Ex_Fbxl7_Hmga2,Zeng|3108
Macosko|Ex_Fbxl7_Insrr_2,Zeng|4060
Macosko|Ex_Fezf1_Bnc2_1,Zeng|2518
Macosko|Ex_Fezf1_Bnc2_3,Zeng|2508
Macosko|Ex_Fezf2_9130008F23Rik,Zeng|375
Macosko|Ex_Fezf2_C1qtnf7,Zeng|318
Macosko|Ex_Fezf2_Col6a1_Gp139_Fos,Zeng|68
Macosko|Ex_Fezf2_Col6a1_Gpr139,Zeng|71
Macosko|Ex_Fezf2_Cpa6,Zeng|65
Macosko|Ex_Fezf2_Dlk1_A730049H05Rik,Zeng|362
Macosko|Ex_Fezf2_Dlk1_Fos_1,Zeng|346
Macosko|Ex_Fezf2_Fibcd1_Fos_Sema3e,Zeng|147
Macosko|Ex_Fezf2_Fn1_Mctp2,Zeng|372
Macosko|Ex_Fezf2_Galr1,Zeng|369
Macosko|Ex_Fezf2_Il22,Zeng|413
Macosko|Ex_Fezf2_Kit_Sostdc1,Zeng|60
Macosko|Ex_Fezf2_Lhx9_1,Zeng|365
Macosko|Ex_Fezf2_Lhx9_2,Zeng|324
Macosko|Ex_Fezf2_Lhx9_3,Zeng|355
Macosko|Ex_Fezf2_Lipm,Zeng|326
Macosko|Ex_Fezf2_Lrp2,Zeng|330
Macosko|Ex_Fezf2_Myzap,Zeng|77
Macosko|Ex_Fezf2_Pirt_Gli2,Zeng|93
Macosko|Ex_Fezf2_Pvalb_Pirt,Zeng|87
Macosko|Ex_Fezf2_Rgs16,Zeng|202
Macosko|Ex_Fezf2_Ror1_Clspn,Zeng|373
Macosko|Ex_Fezf2_Sebox,Zeng|75
Macosko|Ex_Fezf2_Slc9a4_Fos,Zeng|54
Macosko|Ex_Fezf2_Tmem255b_2,Zeng|42
Macosko|Ex_Fezf2_Urah_Alcam,Zeng|73
Macosko|Ex_Fezf2_Vgll3,Zeng|441
Macosko|Ex_Fibcd1_Lefty1_1,Zeng|358
Macosko|Ex_Fibcd1_Lefty1_2,Zeng|354
Macosko|Ex_Fibcd1_Lefty1_Nell1,Zeng|331
Macosko|Ex_Fibcd1_Psrc1_2,Zeng|350
Macosko|Ex_Fibcd1_Psrc1_5,Zeng|359
Macosko|Ex_Fibcd1_Slc9a4_1,Zeng|352
Macosko|Ex_Fibcd1_Tacr3_1,Zeng|343
Macosko|Ex_Fibcd1_Tacr3_2,Zeng|366
Macosko|Ex_Fn1_Cfap58,Zeng|306
Macosko|Ex_Fn1_Nts,Zeng|4683
Macosko|Ex_Foxb1_Nat8f6_1,Zeng|4176
Macosko|Ex_Foxd3_Irx4_2,Zeng|4040
Macosko|Ex_Foxd3_Olig3_1,Zeng|4115
Macosko|Ex_Foxd3_Olig3_2,Zeng|4055
Macosko|Ex_Foxp2_C130074G19Rik_1,Zeng|200
Macosko|Ex_Foxp2_Col12a1_Ddo,Zeng|70
Macosko|Ex_Foxp2_Col5a1,Zeng|72
Macosko|Ex_Foxp2_Dsc3,Zeng|312
Macosko|Ex_Gabra6_Gabrd,Zeng|5158
Macosko|Ex_Gata3_Cwh43,Zeng|3880
Macosko|Ex_Gata3_Slc17a8_1,Zeng|2857
Macosko|Ex_Gata3_Svs5,Zeng|3164
Macosko|Ex_Gata3_Tgm6_2,Zeng|3216
Macosko|Ex_Gbx2_Adam18_2,Zeng|5140
Macosko|Ex_Hmx2_Abcc9_1,Zeng|3629
Macosko|Ex_Hmx2_Ppef1_4,Zeng|3649
Macosko|Ex_Hmx2_Vip_1,Zeng|3646
Macosko|Ex_Hmx3_Has2,Zeng|4036
Macosko|Ex_Hmx3_Npbwr1,Zeng|4058
Macosko|Ex_Hmx3_Sst,Zeng|3645
Macosko|Ex_Hmx3_Twist2_1,Zeng|2570
Macosko|Ex_Hoxb3_Ldlrap1_15,Zeng|4217
Macosko|Ex_Hoxb5_Klc3,Zeng|3664
Macosko|Ex_Hoxb8_Aldh1a2_1,Zeng|4251
Macosko|Ex_Hoxc6_Hpse_2,Zeng|3824
Macosko|Ex_Hoxc6_Ppef1,Zeng|3817
Macosko|Ex_Hoxc6_Slc7a13_2,Zeng|3814
Macosko|Ex_Hpgd_Cd24a_2,Zeng|5017
Macosko|Ex_Hpgd_Ednra,Zeng|4548
Macosko|Ex_Hpgd_Pik3c2g_2,Zeng|4542
Macosko|Ex_Iqcj_Ms4a15_2,Zeng|2873
Macosko|Ex_Iqcj_Ms4a15_7,Zeng|2872
Macosko|Ex_Irx2_Cldn23,Zeng|2899
Macosko|Ex_Irx2_Kcng4_Slc43a3,Zeng|2889
Macosko|Ex_Irx2_Nppc_3,Zeng|2908
Macosko|Ex_Irx2_Rspo3_2,Zeng|2901
Macosko|Ex_Irx2_Slc43a3_1,Zeng|2882
Macosko|Ex_Irx3_Kcnj5_2,Zeng|4546
Macosko|Ex_Irx4_Slc17a8,Zeng|2631
Macosko|Ex_Lef1_Gpr101,Zeng|247
Macosko|Ex_Lhx1_Edn1,Zeng|2764
Macosko|Ex_Lhx2_Frk,Zeng|3827
Macosko|Ex_Lhx2_Gng8_1,Zeng|4799
Macosko|Ex_Lhx2_Hgf_1,Zeng|3812
Macosko|Ex_Lhx2_Il31ra_2,Zeng|2734
Macosko|Ex_Lhx2_Mafa,Zeng|4553
Macosko|Ex_Lhx2_Mdfic2,Zeng|3832
Macosko|Ex_Lhx2_Nek11_6,Zeng|4774
Macosko|Ex_Lhx2_Nek11_7,Zeng|4795
Macosko|Ex_Lhx2_Pth2,Zeng|4789
Macosko|Ex_Lhx2_Pth2_1,Zeng|4769
Macosko|Ex_Lhx2_Pth2_2,Zeng|4773
Macosko|Ex_Lhx2_Thbs2,Zeng|4178
Macosko|Ex_Lhx3_A730046J19Rik,Zeng|3700
Macosko|Ex_Lhx4_Cnga3,Zeng|3031
Macosko|Ex_Lhx4_Gpr101_2,Zeng|3032
Macosko|Ex_Lhx4_Gpr101_4,Zeng|3055
Macosko|Ex_Lhx4_Gpr101_5,Zeng|3036
Macosko|Ex_Lhx4_Hgf,Zeng|24410
Macosko|Ex_Lhx4_Pdlim3,Zeng|24681
Macosko|Ex_Lhx4_Vsx2_1,Zeng|3017
Macosko|Ex_Lhx4_Vsx2_2,Zeng|3028
Macosko|Ex_Lhx9_A1bg_1,Zeng|8178
Macosko|Ex_Lhx9_Adgrg2_3,Zeng|4788
Macosko|Ex_Lhx9_Atp8b1_3,Zeng|2609
Macosko|Ex_Lhx9_Cd44,Zeng|24533
Macosko|Ex_Lhx9_Chrm1_2,Zeng|2637
Macosko|Ex_Lhx9_Dnah5,Zeng|3833
Macosko|Ex_Lhx9_Hsd17b14_2,Zeng|4134
Macosko|Ex_Lhx9_Igfbp2_1,Zeng|8801
Macosko|Ex_Lhx9_Igfbpl1_2,Zeng|3835
Macosko|Ex_Lhx9_Lrp4,Zeng|4778
Macosko|Ex_Lhx9_Lrrk1,Zeng|3815
Macosko|Ex_Lhx9_Mstn_Vxn,Zeng|479
Macosko|Ex_Lhx9_Nps,Zeng|2602
Macosko|Ex_Lhx9_Npsr1_1,Zeng|4787
Macosko|Ex_Lhx9_Prdm6_1,Zeng|3823
Macosko|Ex_Lhx9_Prdm8_2,Zeng|4858
Macosko|Ex_Lhx9_Prok2,Zeng|2605
Macosko|Ex_Lhx9_Qrfprl_2,Zeng|3820
Macosko|Ex_Lhx9_Slc26a7_2,Zeng|4856
Macosko|Ex_Lhx9_Slc38a11_6,Zeng|24690
Macosko|Ex_Lhx9_Slc6a2_1,Zeng|3691
Macosko|Ex_Lhx9_Slc6a2_3,Zeng|3692
Macosko|Ex_Lmx1a_Bdnf_3,Zeng|2244
Macosko|Ex_Lmx1a_Bnc2,Zeng|2231
Macosko|Ex_Lmx1a_Cckar_1,Zeng|2196
Macosko|Ex_Lmx1a_Crhbp_5,Zeng|2377
Macosko|Ex_Lmx1a_Dkkl1,Zeng|2203
Macosko|Ex_Lmx1a_Dnaaf6b_1,Zeng|2190
Macosko|Ex_Lmx1a_Dnaaf6b_2,Zeng|2194
Macosko|Ex_Lmx1a_Galnt3_1,Zeng|2784
Macosko|Ex_Lmx1a_Gngt2,Zeng|2375
Macosko|Ex_Lmx1a_H2-Q10_2,Zeng|2235
Macosko|Ex_Lmx1a_H2-Q10_3,Zeng|2236
Macosko|Ex_Lmx1a_Irx3_3,Zeng|2206
Macosko|Ex_Lmx1a_Irx3_5,Zeng|2199
Macosko|Ex_Lmx1a_Irx6_3,Zeng|2207
Macosko|Ex_Lmx1a_Itih5,Zeng|2219
Macosko|Ex_Lmx1a_Itih5_1,Zeng|2243
Macosko|Ex_Lmx1a_Kcp_1,Zeng|2217
Macosko|Ex_Lmx1a_Kcp_2,Zeng|2222
Macosko|Ex_Lmx1a_Npffr2_2,Zeng|2376
Macosko|Ex_Lmx1a_Pgr15l_3,Zeng|2188
Macosko|Ex_Lmx1a_Pirt,Zeng|2181
Macosko|Ex_Lmx1a_Pkd1l1,Zeng|2240
